Virgina	9	1.274621212	0.756	978	52.8	67.3	1	1
Cincinnati	11	1.304728546	0.687	1323	57.1	74.5	2	1
Tennessee	2	1.11746988	0.756	1193	66.4	74.2	3	1
Arizona	8	1.136235955	0.76	1246	71.2	80.9	4	1
Kentucky	8	1.091038407	0.697	1312	70.3	76.7	5	1
Miami (Fla.)	6	1.089705882	0.663	1080	68	74.1	6	1
Nevada	2	1.139917695	0.747	1225	72.9	83.1	7	1
Creighton	7	1.136118598	0.747	1161	74.2	84.3	8	1
Kansas St.	5	1.066273932	0.743	1009	67.9	72.4	9	1
Texas	2	1.051319648	0.668	1181	68.2	71.7	10	1
Loyola-Chicago	7	1.163987138	0.724	1067	62.2	72.4	11	1
Davidson	28	1.130177515	0.797	1050	67.6	76.4	12	1
Buffalo	2	1.117259552	0.697	1326	75.9	84.8	13	1
Wright State	1	1.068148148	0.717	1234	67.5	72.1	14	1
Georgia State	6	1.118870728	0.676	1156	67.3	75.3	15	1
UMBC	1	1.063309353	0.649	1184	69.5	73.9	16	1
Xavier	8	1.131543624	0.79	1267	74.5	84.3	1	2
North Carolina	14	1.121751026	0.741	1487	73.1	82	2	2
Michigan	11	1.173228346	0.659	1166	63.5	74.5	3	2
Gonzaga	18	1.259314456	0.722	1357	67.1	84.5	4	2
Ohio St.	0	1.136431784	0.726	1172	66.7	75.8	5	2
Houston	3	1.192604006	0.717	1273	64.9	77.4	6	2
Texas A&M	6	1.074498567	0.719	1323	69.8	75	7	2
Missouri	0	1.076358297	0.736	1185	68.1	73.3	8	2
Flordia St.	15	1.096644295	0.685	1179	74.5	81.7	9	2
Providence	6	1.236280488	0.703	1191	65.6	81.1	10	2
San Diego State	0	1.141384389	0.721	1206	67.9	77.5	11	2
South Dakota State	1	1.145748988	0.76	1325	74.1	84.9	12	2
UNC Greensboro	3	1.177884615	0.701	1262	62.4	73.5	13	2
Montana	3	1.136826783	0.706	1225	68.7	78.1	14	2
N.C. Central	8	1.048991354	0.687	1293	69.4	72.8	16	2
Texas Southern	5	0.973651192	0.719	1230	79.7	77.6	16	2
Lipscomb	5	1.065806452	0.715	1247	77.5	82.6	15	2
Villanova	17	1.224719101	0.768	1095	71.2	87.2	1	3
Purdue	13	1.236280488	0.743	1191	65.6	81.1	2	3
Texas Tech	1	1	0.701	1186	64.7	64.7	3	3
Wichita St.	10	1.164095372	0.738	1296	71.3	83	4	3
West Virginia	10	1.153623188	0.766	1288	69	79.6	5	3
Florida	2	1.096541787	0.719	1124	69.4	76.1	6	3
Arkansas	6	1.074172185	0.678	1182	75.5	81.1	7	3
Virginia Tech	3	1.110027855	0.71	1056	71.8	79.7	8	3
Alabama	2	1.034285714	0.672	1234	70	72.4	9	3
Butler	0	1.086538462	0.771	1122	72.8	79.1	10	3
St. Bonaventure	10	1.097183099	0.754	1138	71	77.9	11	3
Murray State	3	1.204580153	0.73	1150	65.5	78.9	12	3
Marshall	3	1.069796954	0.767	1232	78.8	84.3	13	3
Stephen F. Austin	1	1.190895742	0.705	1217	68.1	81.1	14	3
CSU Fullterton	4	1.045714286	0.734	1089	70	73.2	15	3
Radford	7	1.046583851	0.723	1178	64.4	67.4	16	3
Iona	7	1.047244094	0.739	1116	76.2	79.8	15	4
Kansas	14	1.149506347	0.7	1197	70.9	81.5	1	4
Duke	38	1.224460432	0.705	1302	69.5	85.1	2	4
Michigan State	23	1.24691358	0.751	1348	64.8	80.8	3	4
Auburn	3	1.137789905	0.786	1221	73.3	83.4	4	4
Clemson	7	1.113981763	0.757	1135	65.8	73.3	5	4
TCU	1	1.093544137	0.708	1166	75.9	83	6	4
Rhode Island	5	1.122238586	0.707	1101	67.9	76.2	7	4
Seton Hall	7	1.077762619	0.693	1222	73.3	79	8	4
NC State	0	1.089932886	0.7	1142	74.5	81.2	9	4
Oklahoma	6	1.044117647	0.748	1186	81.6	85.2	10	4
Arizona St.	2	1.108897742	0.738	1092	75.3	83.5	11	4
Syracuse	41	1.046511628	0.741	1235	64.5	67.5	11	4
New Mexico State	0	1.189655172	0.643	1369	63.8	75.9	12	4
Charleston	3	1.091569767	0.759	1089	68.8	75.1	13	4
Bucknell	2	1.112482853	0.718	1253	72.9	81.1	14	4
Penn	2	1.112081514	0.666	1206	68.7	76.4	16	4
	Coach's Tenure	PPG/OPG	% of foul shots made	Rebounds #	OPG	PPG	Seed    Division